,Address,catid,Description,Name,Website,Telephone,Category,catId,lat,lng
10,"Dinorwic, Caernarfon, Caernarfon, Gwynedd, LL55 3ET, Wales",Index-101321143398%252c,An ex-employee once said 'We Do Everything!' Almost all our activities take place off-site in 'real' adventure venues. This requires a higher skill and qualification level from our instructors but greatly enhances the adventure.,Blue Peris Mountain Centre,http://www.blueperis.co.uk,+44 01286 870853,"Abseiling, Climbing & Mountaineering",0,53.125915,-4.1104102
11,"Llanuwchllyn, Y Bala, Bala, Gwynedd, LL23 7ST, Wales",Index-101321143398%252c,"Gwersyll yr Urdd Glan-llyn is a multi activity centre situated on the shores of Llyn Tegid, near Y Bala, a mile from the village of Llanuwchllyn in the shadow of the Aran and within Eryri, Snowdonia National Park. It is an ideal location for all types of holidays and activity courses.",Gwersyll yr Urdd Glan-Llyn,http://Urdd.org/glanllyn,+44 01678 541000,"Abseiling, Climbing & Mountaineering",0,52.8972141,-3.6088066
12,"Glyn Padarn, Llanberis, Gwynedd, LL55 4EL, Wales",Index-101321143398%252c,"We aim in particular, to demonstrate how Outdoor Education can provide a special contribution through a cross-curricular approach to the delivery of the whole curriculum. We also provide an ideal base for a structured curriculum based course, particularly for field studies topics. We are registered with the Adventure Activities Licensing Authority under the Activity Centres (Young Person's Safety) Act 1995 and the Adventure Activities Licensing Regulations 1996. Our teaching staff are all fully competent in all the outdoor activities which we undertake and hold the appropriate Governing Body Awards in addition to their educational qualifications. We pride ourselves in our safety record, range of experience and degree of care afforded to our customers.We are situated on the shores of Lake Padarn at the foot of Snowdon and can accommodate up to forty young persons plus leaders in a single group. For every nine young persons, one group leader comes free of charge. We can also now take youngsters with mobility difficulties utilising our new accessible bedroom. Please note that the ground floor of KMC is also now wheelchair accessible.",Kent Mountain Centre,http://www.thekmc.co.uk,+44 01286 870216,"Abseiling, Climbing & Mountaineering",0,53.1281439,-4.1391589
13,"Main Office, Beach Hut Area, Bennar Headland, Abersoch, Gwynedd, LL53 7DP, Wales",Index-101321143398%252c,"Watersports centre specialising in sailing, kayaking and rafting. Lessons available. Children and groups catered for. Boat hire also available including catamarans, speedboats, fun boats and canoes. March to November.",Abersoch Sailing School,http://www.abersochsailingschool.com,+44 01758 712963,"Abseiling, Climbing & Mountaineering",0,52.8240737,-4.5000071
14,"Corris Uchaf, Machynlleth, Gwynedd, SY20 9RH, Wales",Index-101321143398%252c,"We provide high quality Outdoor Learning courses to Schools, Colleges and Youth groups. We also provide leadership training and development courses and MLTE training and assessment courses for teachers and youth leaders.",Ty'n y Berth Mountain Centre,http://www.widehorizons.org.uk,+44 01654 761678,"Abseiling, Climbing & Mountaineering",0,52.6627309,-3.8589203
15,"Gorwel Y Mor, Waunfawr, Caernarfon, Gwynedd, LL55 4DX, Wales",Index-101321143398%252c,Abseiling; Coasteering; Gorge Scrambling (Also known as Gorge Walking and Canyoning. ) Hill Walking & Mountaineering; Improvised Rafting Kayaking; Off-Road Cycling (Also known as Mountain Biking.) Open Canoeing and Rock Climbing.,Mentro Mor Mynydd - Up 4 It Outdoors,http://www.up4itoutdoors.com,+44 01286 650466,"Abseiling, Climbing & Mountaineering",0,53.1144779,-4.2070982
16,"Min-y-don, Arthog, Fairbourne, Gwynedd, LL39 1BZ, Wales",Index-101321143398%252c,"Superbly situated on the shores of the Mawddach Estuary and set against the spectacular backdrop of the Cadair Mountain Range, MIN-Y-DON provides a unique setting for family and youth group holidays.ACTIVITIES AVAILABLE ON SITE:*Kayaking *Canoeing *Rock Climbing *Abseiling *Aerial Runway *High and Low Ropes Courses *Archery *Orienteering *Problem Solving and Team Building Games *Treasure Hunts *Min-Y-Don 'Safari' - (Environmental and Beach Studies) *Crate Climbing *Bushcraft Many beautiful HILL WALKS are available throughout the adjacent countryside.",Min-y-Don Christian Adventure Centre,http://www.minydon.com,+44 01341 250433,"Abseiling, Climbing & Mountaineering",0,52.7170975,-4.0152249
17,"Rhyd-y-coed, The Drapers' Field Centre, Betws-y-coed, Conwy, LL24 0HB, Wales",Index-101321143398%252c,"Follow in the footsteps of Darwin to discover the mountain environment of Cwm Idwal, evidence of the glaciated past, human impact today and conservation for the future. The Sand Dunes at Harlech SSSI provide a variety of rich habitats on the pro-grading dune system. Coastal environments include the shingle beach, sea defences and Rocky Shores. Students can discover the extensive forests surrounding the Centre. Opportunities for woodland ecology, soil profiles and orienteering The River Conwy provides opportunities to study downstream changes from upland stream to estuary, freshwater ecosystems and pollution. Betws-y-coed and surrounding settlements provide a range of opportunities for human geography including tourism in the National Park and settlements. Adventurous activities complement fieldwork, including climbing, gorge scrambling and walking in the mountains of Snowdonia.",FSC Rhyd-y-Creuau,http://www.field-studies-council.org/centres/rhydycreuau.aspx,+44 01690 710494,"Abseiling, Climbing & Mountaineering",0,53.097565,-3.7902623
18,"Beddgelert, Caernarfon, Gwynedd, LL55 4YF, Wales",Index-101321143398%252c,"Aberglaslyn Hall is Leciestershires Outdoor Learning Centre. We can offer a full range of outdoor activities such as canoeing, kayaking, abseiling, coasteering, gorge walking as well as activities like rafting, field studies and team exercises.   The hall can accommodate up to 42 students and 6 staff.  Courses are usually residential but can also be run on a day visit basis.   All equipment is provided and the hall has three mini buses to transport all students.   Aberglaslyn is both AALS approved and has the Quality Badge from the Learning Outside the Classroom.   It is staffed by three fully qualified members of staff and can call on equally qualified members of staff should numbers dictate.     Contact Tel 01766 890233  Email aberglaslyn@beaumanor.rmplc.co.uk",Aberglaslyn Hall Outdoor Education,,+44 01766 890233,"Abseiling, Climbing & Mountaineering",0,52.9845655,-4.0970159
19,"Ynys Fechan Hall, Arthog, Dolgellau, Fairbourne, Gwynedd, LL39 1YT, Wales",Index-101321143398%252c,Activity Centre,Crisis Care - Ynys Fechan Hall,,+44 01341 250369,"Abseiling, Climbing & Mountaineering",0,52.7142217,-4.0041028
20,"16 Maes Y Garnedd, Bethesda, Gwynedd, LL57 3BP, Wales",Index-101321143728%252c,"Snowdonia Outdoor Adventure provide unique water and rock based adventure activities - Coasteering, Gorge Walking, Rock Climbing, Mountain Walking, Abseiling and Sea Level Traversing.All instructors hold national governing body awards and are experienced in the activities that they run. Whether it is a family day out, team building or just some fun with friends that you are after, Snowdonia Outdoor Adventure can tailor a course to suit your needs.",Snowdonia Outdoor Adventure,http://www.snowdoniaoutdooradventure.co.uk/COASTEERING.html,+44 07859 024799,Adventure Sports,1,53.179195,-4.0574151
21,"4 New Street, Deiniolen, Caernarfon, Gwynedd, LL55 3LH, Wales",Index-101321143728%252c,"Snowdonia Adventures is an established company who have been providing outdoor activities and skills courses to individuals and groups since 2000.We provide fun outdoor activities to individuals and groups. Our speciality is offering personally tailored skills courses for walkers,climbers and mountaineers.The company is owned and run by its directors Mark Handford and Shan Rees Roberts.",Snowdonia Adventures,http://www.snowdonia-adventures.co.uk,+44 01248 490188,Adventure Sports,1,53.1466188,-4.1261702
22,"Conwy Falls Cafe, Betws-y-coed, Conwy, LL24 0PN, Wales",Index-101321143728%252c,"Go Below is a unique adventure activity experience taking people on exciting half day underground trips. Get in on the caving action in the abandoned mines of Snowdonia for some serious underground fun!Challenge yourself with an abseil, zip line, boating, scrambling and climbing a waterfall as you move through this fascinating environment with info on the industrial history and artefacts to see on request. Starting from our base at the Conwy Falls Cafe, you'll be kitted up with a harness, helmet, lamp, Wellington boots and safety equipment before heading off to the mine. You'll enjoy some stunning scenery on the walk up before heading into the darkness. On your underground journey through the mountain you will encounter forgotten deep blue lakes, lofty caverns and ancient mining machinery lying abandoned in the darkness. You'll cross zip lines and traverses, climb rock faces, boat across water and abseil off ledges for that thrilling adrenalin rush that'll leave you feeling totally exhilarated! No experience necessary, no potholing or squeezing through small gaps, and activities can be bypassed if preferred. All equipment and footwear provided. Open all year.Now you can also check prices, availability and book Online!",Go Below Underground Adventures,http://www.go-below.co.uk,+44 01690 710108,Adventure Sports,1,53.0655599,-3.7764571
23,"Hafan Y Mor, Pwllheli, Pwllheli, Gwynedd, LL49 9YB, Wales",Index-101321143728%252c,"Flying through the air on a Giant Swing, leaping for a trapeze, walking the tight rope and descending ziplines are just a few of the breathtaking challenges you can encounter here at the all new Ropeworks. Gloriously sited at our new location in Hafan y Mor Holiday Park, between Pwllheli and Criccieth. Ropeworks is North Wales’ newest, brightest and definitely most exciting attraction.",Ropeworks,http://www.ropeworks.co.uk,+44 01766 819187,Adventure Sports,1,52.9100164,-4.167922
24,"Tree Top Lodge, Llanrwst Road, Betws-y-coed, Conwy, LL24 0HA, Wales",Index-101321143728%252c,"Our unique and exciting high ropes course is open to any reasonable fit person taller than 1.3m (4ft 3in). Adventurers’ are fitted with a full body harness and helmet, receive a comprehensive safety briefing then attached to a revolutionary safety system. Negotiate over 30 obstacles including balancing beams, zip wires, ropes bridges and parachute simulator without the need to detach from the safety line. All safety equipment provided. No minimum age restriction (minimum height 1.3m, maximum weight 120kg) and suitable in wet weather.",Adventurers Course,http://www.ttadventure.co.uk,+44 01690 710914,Adventure Sports,1,53.0929924,-3.7948067
25,"Gilfach Ddu, Llanberis, Llanberis, Gwynedd, LL55 4TY, Wales",Index-101321143728%252c,"At Ropes and Ladders your instructor will lead you on a high level adventure to remember! Ideal for families groups or individuals the site is conveniently situated in the Padarn Country Park, Llanberis. A spectacular central tower gives access to circuits of tight rope walks, balance beams, swings jumps and platforms. An aerial zip line hurtles you past the tree canopy to more giant jumps swings and climbs. For a grand finale let the giant swing swoop you down and up to glimpse the mountains above the treetops.",Ropes and Ladders,http://www.ropesandladders.co.uk,+44 01286 872310,Adventure Sports,1,53.1205873,-4.1152603
26,"Penrhyn Quarry, Bethesda, Gwynedd, LL57 4YG, Wales",Index-101321143728%252c,"This adrenalin fuelled attraction offers visitors a totally unique experience. Speeds in excess of 100mph can be reached.Velocity has two pairs of zip lines.  The experience starts with the ‘Little Zipper’.  This is a great introduction and confidence builder with a maximum speed of around 45mph.  The journey takes riders into the heart of the historic quarry where the off road journey to the Big Zipper commences.The journey up the mountain in a specialised off road vehicle is magnificent. The Quarry Tour involves a journey through, what was once, the largest slate quarry in the world. Around every corner is evidence of an industrial past which our professional drivers bring to life and they will astound you with their knowledge and captivating stories.Where the Quarry Tour ends the Big Zipper begins.  This is a mile long zip line that provides riders with a birds-eye view of the historic quarry and the spectacular North Wales coastline and beyond.Participants will be supplied with a safety helmet, goggles and a flying suit that is wind and shower proof.",Zip World,http://www.zipworld.co.uk,+44 01690 710914,Adventure Sports,1,53.1675992,-4.0656124
27,"Pensarn Harbour, Llanbedr, Gwynedd, LL45 2HS, Wales",Index-101321143728%252c,"Our centres at Pensarn Harbour & Bryn-y-Moel are set in fantastic locations: nestled in between the vast unspoilt beaches of the Cambrian coast and the wild beauty of the Rhinog mountain range, the centres are truly set in the heart of the Snowdonia National Park.",CMC Pensarn Harbour,,+44 01341 241646,Adventure Sports,1,52.8313092,-4.107483
28,"Y Glyn, Llanberis, Gwynedd, LL55 4EL, Wales",Index-101321143728%252c,"Surf-Lines provide canoeing, kayaking, climbing, coasteering, gorge scrambling, mountain walking, orienteering and team building. Our experienced instructors provide exciting 2hr, 1/2 day, full day and multi day activities. Looking to develop your paddle skills? Why not join us on one of our popular sea kayak, canoe or white water skills courses. We also have North Wales' premier canoe and kayak retail outlet packed full of the latest boats and kit. Boat demo's are availible.",Surf-Lines Adventures,http://www.surf-lines.co.uk,+44 01286 879001,Adventure Sports,1,53.1236031,-4.1298952
29,"Min-y-don, Arthog, Fairbourne, Gwynedd, LL39 1BZ, Wales",Index-101321143728%252c,"Superbly situated on the shores of the Mawddach Estuary and set against the spectacular backdrop of the Cadair Mountain Range, MIN-Y-DON provides a unique setting for family and youth group holidays.ACTIVITIES AVAILABLE ON SITE:*Kayaking *Canoeing *Rock Climbing *Abseiling *Aerial Runway *High and Low Ropes Courses *Archery *Orienteering *Problem Solving and Team Building Games *Treasure Hunts *Min-Y-Don 'Safari' - (Environmental and Beach Studies) *Crate Climbing *Bushcraft Many beautiful HILL WALKS are available throughout the adjacent countryside.",Min-y-Don Christian Adventure Centre,http://www.minydon.com,+44 01341 250433,Adventure Sports,1,52.7170975,-4.0152249
30,"Bryn Du Mountain Centre, Ty Du Road, Llanberis, Gwynedd, LL55 4HE, Wales",Index-101321143728%252c,"Boulder Adventures is based at the Bryn Du Mountain Centre and the Padarn Water Sports Centre in Llanberis, Snowdonia. The residential centre is a spacious Victorian house in its own gardens. The Water Sports Centre is located on the shores of Llyn Padarn accessed from the Welsh Slate Museum Car Park. We offer a variety of specialist courses and multi-activity trips, as well as courses tailored to your groups specific demands, placing particular emphasis on canoeing, kayaking, climbing, abseiling, gorge scrambling and walking. Courses can last from half a day to a week although the memories will be for longer.   Our experienced and fully trained staff ensure that your stay at Boulder Adventures is as safe and enjoyable as possible, allowing you to concentrate on the activities that brought you to the centre in the first place. For further details visit: www.boulderadventures.co.uk or www.adventuresinwales.co.uk",Boulder Adventures Ltd,,+44 01286 870556,Adventure Sports,1,53.1203488,-4.1293163
31,"6 New Street, Aberdovey, Gwynedd, LL35 0EH, Wales",Index-101321143728%252c,"Activity centre providing a wide range of activities including Kayaking, canoeing, mountain biking, rock climbing and more. All activities are led by fully qualified instructors.",Adrenalin Antics,http://www.adrenalinantics.com,+44 01654 767655,Adventure Sports,1,52.5444192,-4.0442873
32,"Clegy, Llanaelhaearn, Pwllheli, Gwynedd, LL54 5AD, Wales",Index-101321143728%252c,"We provide fun, challenging and rewarding activities around the Peninsula from our base on the outskirts of Abersoch. Activities like Coasteering, Canyoning, Climbing and Abseiling or Mountain and Coastal Walks.",Lleyn Adventure Activities,http://www.llynadventures.com,+44 07751 826714,Adventure Sports,1,52.9814408,-4.4088261
33,"Pentre Bach, Waunfawr, Caernarfon, Gwynedd, LL54 7AJ, Wales",Index-101321143728%252c,"Looking for a new experience or want to broaden your current knowledge? We can help provide you with that opportunity, so whether you wish to be guided around the hills, try kayaking, climbing or gorge scrambling we're happy to oblige!",Bach Ventures Ltd,http://bachventures.co.uk,+44 01286 650643,Adventure Sports,1,53.0984872,-4.1960755
34,"Arthog, Gwynedd, Fairbourne, Gwynedd, LL39 1BX, Wales",Index-101321143728%252c,"Arthog Outdoor Education Centre is a residential outdoor education centre in the Snowdonia National Park, North Wales, UK. It is owned by Telford & Wrekin Council and has a national reputation for excellent provision of outdoor adventure activities and field studies. Although term-time use is primarily by Telford and Shropshire schools, our facilities and services are available to other client groups during weekends, halfterms and holiday times...Activities Include:Centre orienteering ,Mountain Biking, White Water Rafting, Mountain Walking , Rock Climbing, Mine Exploration, Kayaking , Open Canoeing, Wave Skiing, Orienteering, Initiative Tasks, The Ropes Course ,Adventure Activities",Arthog Outdoor Education Centre,http://www.arthog.co.uk,+44 01341 250455,Adventure Sports,1,52.70763,-4.031431
35,"Gwynedd, Caernarfon, Gwynedd, LL55 1UE, Wales",Index-101321143728%252c,"Plas Menai is the National Watersports Centre based on the banks of the Menai Strait overlooking the Isle of Angelsey. Owned and operated by Sport Wales, the centre and facilities is set in four acres of landscaped grounds with a large waterfront and dedicated slipway. The Centre is a recognised RYA and BCU training centre and offers technical courses in sailing, windsurfing, powerboating, cruising, kayaking and instructor training. During the summer holidays, Plas Menai runs a variety of youth actvity holidays for children aged between 8-17yrs. The centre also runs adventure activities for families, schools, groups and teambuilding events for corporate customers.The Centre can accommodate up to 100 people in comfortable twin-bedded ensuite rooms in the main complex and in our onsite dormitory style houses and is open throughout the year, (closed during the Christmas period).",Plas Menai,http://www.plasmenai.co.uk,+44 01248 670964,Adventure Sports,1,53.1414922,-4.273183
36,"Dinorwic, Caernarfon, Caernarfon, Gwynedd, LL55 3ET, Wales",Index-101321143728%252c,An ex-employee once said 'We Do Everything!' Almost all our activities take place off-site in 'real' adventure venues. This requires a higher skill and qualification level from our instructors but greatly enhances the adventure.,Blue Peris Mountain Centre,http://www.blueperis.co.uk,+44 01286 870853,Adventure Sports,1,53.125915,-4.1104102
37,"Corris Uchaf, Machynlleth, Gwynedd, SY20 9RH, Wales",Index-101321143728%252c,"We provide high quality Outdoor Learning courses to Schools, Colleges and Youth groups. We also provide leadership training and development courses and MLTE training and assessment courses for teachers and youth leaders.",Ty'n y Berth Mountain Centre,http://www.widehorizons.org.uk,+44 01654 761678,Adventure Sports,1,52.6627309,-3.8589203
38,"Ynys Fechan Hall, Arthog, Dolgellau, Fairbourne, Gwynedd, LL39 1YT, Wales",Index-101321143728%252c,Activity Centre,Crisis Care - Ynys Fechan Hall,,+44 01341 250369,Adventure Sports,1,52.7142217,-4.0041028
39,"Beddgelert, Caernarfon, Gwynedd, LL55 4YF, Wales",Index-101321143728%252c,"Aberglaslyn Hall is Leciestershires Outdoor Learning Centre. We can offer a full range of outdoor activities such as canoeing, kayaking, abseiling, coasteering, gorge walking as well as activities like rafting, field studies and team exercises.   The hall can accommodate up to 42 students and 6 staff.  Courses are usually residential but can also be run on a day visit basis.   All equipment is provided and the hall has three mini buses to transport all students.   Aberglaslyn is both AALS approved and has the Quality Badge from the Learning Outside the Classroom.   It is staffed by three fully qualified members of staff and can call on equally qualified members of staff should numbers dictate.     Contact Tel 01766 890233  Email aberglaslyn@beaumanor.rmplc.co.uk",Aberglaslyn Hall Outdoor Education,,+44 01766 890233,Adventure Sports,1,52.9845655,-4.0970159
40,"Bryn-y-moel, Llanbedr, Gwynedd, LL45 2HU, Wales",Index-101321143513%252c,"The Ranch Outdoor Discovery Centre exists to offer young people opportunities for exciting residential experiences all year round in the heart of Snowdonia - with an emphasis on personal discovery, education, safety and fun!",The Ranch Outdoor Discovery Centre,http://www.actioncentres.co.uk,+44 01341 241358,Adventure Sports,2,52.8303738,-4.0978627
41,"Min-y-don, Arthog, Fairbourne, Gwynedd, LL39 1BZ, Wales",Index-101321143513%252c,"Superbly situated on the shores of the Mawddach Estuary and set against the spectacular backdrop of the Cadair Mountain Range, MIN-Y-DON provides a unique setting for family and youth group holidays.ACTIVITIES AVAILABLE ON SITE:*Kayaking *Canoeing *Rock Climbing *Abseiling *Aerial Runway *High and Low Ropes Courses *Archery *Orienteering *Problem Solving and Team Building Games *Treasure Hunts *Min-Y-Don 'Safari' - (Environmental and Beach Studies) *Crate Climbing *Bushcraft Many beautiful HILL WALKS are available throughout the adjacent countryside.",Min-y-Don Christian Adventure Centre,http://www.minydon.com,+44 01341 250433,Adventure Sports,2,52.7170975,-4.0152249
42,"Llanwnda, Caernarfon, Gwynedd, LL54 5SD, Wales",Index-101321143401%252c,Neil has first hand knowledge of the many single-track routes that are available in this area. He helped advise and build the Red Bull Mountain Bike Trail at Coed y Brenin...,Nth Degree Mtb Ultimate Trails in Wales,http://www.nthdegreemtb.com,+44 01286 8305,Cycling & Mountain Biking,3,53.0931727,-4.2831503
43,"4 New Street, Deiniolen, Caernarfon, Gwynedd, LL55 3LH, Wales",Index-101321143401%252c,"Snowdonia Adventures is an established company who have been providing outdoor activities and skills courses to individuals and groups since 2000.We provide fun outdoor activities to individuals and groups. Our speciality is offering personally tailored skills courses for walkers,climbers and mountaineers.The company is owned and run by its directors Mark Handford and Shan Rees Roberts.",Snowdonia Adventures,http://www.snowdonia-adventures.co.uk,+44 01248 490188,Cycling & Mountain Biking,3,53.1466188,-4.1261702
44,"Unit 1 & 2 Salem Workshops, Talysarn, Penygroes, Caernarfon, Gwynedd, LL54 6AB, Wales",Index-101321143401%252c,We work in four main areas:- Cycle Maintenance Training up to City & Guilds Accreditation- Cycle workshop services including custom builds- Workshop Hire - Cycle Coaching Or of course a mix of all 4.,CycleWales,http://www.cyclewales.net,+44 01938 570680,Cycling & Mountain Biking,3,42.7027693,-73.7112171
45,"Caernarfon, Gwynedd, Caernarfon, Gwynedd, LL55 1YA, Wales",Index-101321143401%252c,"Lon Efion stretches for 20 km (12.5 miles) between the historical town of Caernarfon and the rural village of Bryncir. From the route there are views of the Llyn Pennisula, Caernarfon Bay, Anglesey and Snowdonia.",Lon Eifion Cycle Route - Caernarfon,,+44 01286 67223,Cycling & Mountain Biking,3,53.1414922,-4.273183
